1,1,1,1,1,1,1,1,1,308,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
37,1,41,1,45,1,49,1,53,1,57,1,61,1,65,1,69,1,73,1,77,1,81,1,85,1,89,1,93,1,97,1,101,1,105,1,109,1,113,1,117,1,121,1,125,1,128,1,131,1,133,1,135,1,137,1,
0,264,0,265,0,266,0,267,0,268,0,269,0,270,0,271,0,272,0,273,0,274,0,275,0,276,0,277,0,278,0,279,0,280,0,281,0,282,0,283,0,284,0,285,0,286,0,287,0,288,0,289,0,290,0,291,
36,1,40,1,44,1,48,1,52,1,56,1,60,1,64,1,68,1,72,1,76,1,80,1,84,1,88,1,92,1,96,1,100,1,104,1,108,1,112,1,116,1,120,1,124,1,127,1,130,1,132,1,134,1,136,1,
36,1,40,1,44,1,48,1,52,1,56,1,60,1,64,1,68,294,0,295,76,1,80,1,84,1,88,1,92,1,96,1,100,1,104,1,108,1,112,1,116,306,0,307,124,1,127,1,130,1,132,1,134,1,136,1,
36,1,40,1,44,1,48,1,52,1,56,1,60,1,64,1,68,1,1,1,76,1,80,1,84,1,88,1,92,1,96,1,100,1,104,1,108,1,112,1,116,1,1,1,124,1,127,1,130,1,132,1,134,1,136,1,
0,171,0,172,0,173,0,174,0,175,0,176,0,177,0,178,0,179,179,179,0,180,0,181,0,182,0,183,0,184,0,185,0,186,0,187,0,188,0,189,0,190,190,190,0,191,0,192,0,193,0,194,1,1,1,1,
35,1,39,1,43,1,47,1,51,1,55,1,59,1,63,1,67,1,1,1,75,1,79,1,83,1,87,1,91,1,95,1,99,1,103,1,107,1,111,1,115,1,1,1,123,1,126,1,129,1,1,1,1,1,1,1,
35,1,39,1,43,1,47,1,51,1,55,1,59,1,63,1,67,292,0,293,75,1,79,1,83,1,87,1,91,1,95,1,99,1,103,1,107,1,111,1,115,304,1,305,123,1,126,1,129,1,1,1,1,1,1,1,
35,1,39,1,43,1,47,1,51,1,55,1,59,1,63,1,67,1,71,1,75,1,79,1,83,1,87,1,91,1,95,1,99,1,103,1,107,1,111,1,115,1,119,1,123,1,126,1,129,1,1,1,1,1,1,1,
0,203,0,204,0,205,0,206,0,207,0,208,0,209,0,210,0,211,0,212,0,213,0,214,0,215,0,216,0,217,0,218,0,219,0,220,0,221,0,222,0,223,0,224,0,225,0,1,0,1,0,1,0,1,0,1,
34,1,38,1,42,1,46,1,50,1,54,1,58,1,62,1,66,1,70,1,74,1,78,1,82,1,86,1,90,1,94,1,98,1,102,1,106,1,110,1,114,1,118,1,1,1,1,1,1,1,1,1,1,1,1,1,
0,234,0,235,0,236,0,237,0,238,0,239,0,240,0,241,0,242,0,243,0,244,0,245,0,246,0,247,0,248,0,249,0,250,0,251,0,252,0,253,0,254,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
